state_id,cluster_id,split_role,regime_id,entropy,voi_oracle_raw,delta_u_force_explore,delta_u,useful_label,proxy_kernel_name,true_kernel_name,R_drs,R_jsd,R_tv,R_entropy,voi_bound_tv
near_zero_treatment|b=0.5|c=0.1,near_zero_treatment,model_selection,near_zero_treatment,1.0,0.020000000000000018,-0.07999999999999999,,HARMFUL,heavy_overlap,heavy_overlap,0.5,0.0008002134699838133,0.040000000000000036,0.6931471805599453,0.020000000000000018
near_zero_treatment|b=0.5|c=0.25,near_zero_treatment,model_selection,near_zero_treatment,1.0,0.020000000000000018,-0.22999999999999998,,HARMFUL,heavy_overlap,heavy_overlap,0.5,0.0008002134699838133,0.040000000000000036,0.6931471805599453,0.020000000000000018
near_zero_treatment|b=0.6|c=0.02,near_zero_treatment,model_selection,near_zero_treatment,0.9709505944546688,0.0,-0.02,,NEAR_ZERO,heavy_overlap,heavy_overlap,0.0,0.0007682131286417301,0.040000000000000036,0.6730116670092565,0.019200000000000016
near_zero_treatment|b=0.6|c=0.1,near_zero_treatment,model_selection,near_zero_treatment,0.9709505944546688,0.0,-0.1,,HARMFUL,heavy_overlap,heavy_overlap,0.0,0.0007682131286417301,0.040000000000000036,0.6730116670092565,0.019200000000000016
near_zero_treatment|b=0.6|c=0.25,near_zero_treatment,model_selection,near_zero_treatment,0.9709505944546688,0.0,-0.25,,HARMFUL,heavy_overlap,heavy_overlap,0.0,0.0007682131286417301,0.040000000000000036,0.6730116670092565,0.019200000000000016
false_recoverability|b=0.46|c=0.02,false_recoverability,registered_test,false_recoverability,0.9953784388202258,1.1102230246251565e-16,-0.01999999999999989,,NEAR_ZERO,bernoulli_0.90,near_identical,0.46799999999999997,0.36601480677147535,0.8,0.6899437584583995,0.000993600000000001
false_recoverability|b=0.46|c=0.1,false_recoverability,registered_test,false_recoverability,0.9953784388202258,1.1102230246251565e-16,-0.0999999999999999,,HARMFUL,bernoulli_0.90,near_identical,0.46799999999999997,0.36601480677147535,0.8,0.6899437584583995,0.000993600000000001
false_recoverability|b=0.46|c=0.25,false_recoverability,registered_test,false_recoverability,0.9953784388202258,1.1102230246251565e-16,-0.2499999999999999,,HARMFUL,bernoulli_0.90,near_identical,0.46799999999999997,0.36601480677147535,0.8,0.6899437584583995,0.000993600000000001
false_recoverability|b=0.5|c=0.02,false_recoverability,registered_test,false_recoverability,1.0,0.0010000000000000009,-0.019,,NEAR_ZERO,bernoulli_0.90,near_identical,0.5,0.36806420716849714,0.8,0.6931471805599453,0.0010000000000000009
false_recoverability|b=0.5|c=0.1,false_recoverability,registered_test,false_recoverability,1.0,0.0010000000000000009,-0.099,,HARMFUL,bernoulli_0.90,near_identical,0.5,0.36806420716849714,0.8,0.6931471805599453,0.0010000000000000009
false_recoverability|b=0.5|c=0.25,false_recoverability,registered_test,false_recoverability,1.0,0.0010000000000000009,-0.249,,HARMFUL,bernoulli_0.90,near_identical,0.5,0.36806420716849714,0.8,0.6931471805599453,0.0010000000000000009
false_recoverability|b=0.54|c=0.02,false_recoverability,registered_test,false_recoverability,0.9953784388202258,0.0,-0.02,,NEAR_ZERO,bernoulli_0.90,near_identical,0.46799999999999997,0.3660148067714754,0.8,0.6899437584583995,0.000993600000000001
